"Label (Grouping)","Bayonne city, Hudson County, New Jersey!!Estimate","Bayonne city, Hudson County, New Jersey!!Margin of Error","East Newark borough, Hudson County, New Jersey!!Estimate","East Newark borough, Hudson County, New Jersey!!Margin of Error","Guttenberg town, Hudson County, New Jersey!!Estimate","Guttenberg town, Hudson County, New Jersey!!Margin of Error","Harrison town, Hudson County, New Jersey!!Estimate","Harrison town, Hudson County, New Jersey!!Margin of Error","Hoboken city, Hudson County, New Jersey!!Estimate","Hoboken city, Hudson County, New Jersey!!Margin of Error","Jersey City city, Hudson County, New Jersey!!Estimate","Jersey City city, Hudson County, New Jersey!!Margin of Error","Kearny town, Hudson County, New Jersey!!Estimate","Kearny town, Hudson County, New Jersey!!Margin of Error","North Bergen township, Hudson County, New Jersey!!Estimate","North Bergen township, Hudson County, New Jersey!!Margin of Error","Secaucus town, Hudson County, New Jersey!!Estimate","Secaucus town, Hudson County, New Jersey!!Margin of Error","Union City city, Hudson County, New Jersey!!Estimate","Union City city, Hudson County, New Jersey!!Margin of Error","Weehawken township, Hudson County, New Jersey!!Estimate","Weehawken township, Hudson County, New Jersey!!Margin of Error","West New York town, Hudson County, New Jersey!!Estimate","West New York town, Hudson County, New Jersey!!Margin of Error"
"Total:","28,325","±769","829","±102","4,953","±484","8,991","±402","27,654","±588","123,132","±1,461","14,756","±463","23,784","±884","8,525","±491","25,782","±770","8,176","±408","20,645","±673"
"    No vehicle available","6,622","±662","207","±69","1,724","±437","2,956","±439","9,296","±644","48,193","±1,611","2,227","±394","5,460","±675","898","±313","10,430","±893","1,712","±333","8,499","±701"
"    1 vehicle available","12,924","±827","332","±116","2,094","±353","4,270","±545","15,552","±832","53,495","±1,924","5,922","±549","11,638","±1,061","3,839","±470","11,408","±746","4,643","±536","9,050","±737"
"    2 vehicles available","6,163","±559","243","±81","1,046","±273","1,563","±302","2,381","±452","17,244","±1,050","4,560","±539","4,889","±626","2,982","±426","2,993","±454","1,516","±325","2,393","±450"
"    3 vehicles available","1,904","±371","47","±44","71","±58","157","±90","391","±164","3,362","±570","1,354","±279","1,146","±252","521","±199","833","±228","259","±119","569","±205"
"    4 or more vehicles available","712","±243","0","±14","18","±31","45","±48","34","±38","838","±203","693","±202","651","±223","285","±140","118","±76","46","±42","134","±88"
"    1-person household:","9,269","±796","81","±49","1,670","±413","3,173","±568","8,931","±743","40,574","±1,732","3,279","±517","6,983","±851","2,153","±391","6,849","±663","2,737","±502","5,994","±709"
"        No vehicle available","3,782","±498","24","±23","844","±267","1,227","±324","4,834","±541","23,841","±1,184","983","±266","2,833","±455","700","±280","4,193","±538","851","±215","3,181","±564"
"        1 vehicle available","5,010","±597","50","±43","799","±222","1,910","±459","4,090","±536","16,197","±1,292","1,901","±341","4,047","±670","1,367","±302","2,582","±399","1,856","±452","2,621","±476"
"        2 vehicles available","364","±141","0","±14","27","±34","36","±49","7","±11","445","±180","360","±195","94","±64","69","±48","49","±50","30","±34","162","±104"
"        3 vehicles available","53","±50","7","±11","0","±21","0","±21","0","±32","79","±53","25","±29","9","±14","0","±25","25","±28","0","±21","16","±25"
"        4 or more vehicles available","60","±76","0","±14","0","±21","0","±21","0","±32","12","±19","10","±16","0","±32","17","±29","0","±32","0","±21","14","±21"
"    2-person household:","6,932","±728","305","±80","1,387","±338","2,892","±436","11,669","±797","38,700","±1,643","4,432","±558","6,314","±779","2,820","±468","7,908","±675","3,298","±483","6,161","±673"
"        No vehicle available","1,297","±312","117","±50","467","±193","928","±296","3,041","±503","12,956","±969","424","±136","1,159","±392","74","±52","2,724","±401","554","±204","2,537","±558"
"        1 vehicle available","3,312","±430","134","±54","639","±209","1,237","±272","6,882","±701","18,703","±1,160","2,021","±461","3,707","±615","1,389","±339","3,903","±642","1,884","±329","2,813","±383"
"        2 vehicles available","2,090","±444","54","±37","281","±136","718","±291","1,617","±444","6,638","±686","1,713","±354","1,381","±342","1,272","±340","1,212","±328","777","±306","713","±282"
"        3 vehicles available","186","±111","0","±14","0","±21","9","±16","113","±89","384","±148","194","±124","4","±7","67","±60","69","±56","83","±73","88","±62"
"        4 or more vehicles available","47","±44","0","±14","0","±21","0","±21","16","±25","19","±23","80","±66","63","±55","18","±29","0","±32","0","±21","10","±16"
"    3-person household:","5,998","±701","124","±98","804","±364","1,532","±352","4,106","±522","20,709","±1,329","3,035","±380","4,124","±528","1,562","±303","4,835","±602","1,154","±279","3,571","±576"
"        No vehicle available","870","±266","18","±27","247","±249","507","±312","897","±254","6,336","±739","345","±172","675","±336","112","±79","1,673","±355","296","±208","1,084","±289"
"        1 vehicle available","2,432","±405","71","±90","294","±139","608","±198","2,669","±408","9,184","±891","994","±230","1,785","±470","574","±165","2,420","±451","480","±166","1,837","±402"
"        2 vehicles available","1,892","±473","35","±27","248","±180","369","±137","386","±163","4,341","±601","1,180","±298","1,403","±327","608","±216","549","±177","296","±117","536","±193"
"        3 vehicles available","773","±305","0","±14","15","±29","31","±38","154","±115","662","±214","444","±147","261","±130","248","±156","179","±101","82","±68","114","±98"
